region,trust,date,type1_attendances,admissions
Midlands and East Of England Commissioning Region,Assura Vertis Urgent Care Centres (Birmingham),2015-06,0,0
Midlands and East Of England Commissioning Region,Birmingham Children's Hospital NHS Foundation Trust,2015-06,4239,1119
Midlands and East Of England Commissioning Region,Birmingham Community Healthcare NHS Trust,2015-06,0,0
Midlands and East Of England Commissioning Region,Birmingham Wic,2015-06,0,0
Midlands and East Of England Commissioning Region,Birmingham Women's NHS Foundation Trust,2015-06,0,174
Midlands and East Of England Commissioning Region,Coventry And Warwickshire Partnership NHS Trust,2015-06,0,96
Midlands and East Of England Commissioning Region,Coventry NHS Healthcare Ctr,2015-06,0,0
Midlands and East Of England Commissioning Region,George Eliot Hospital NHS Trust,2015-06,5793,1135
Midlands and East Of England Commissioning Region,Greet General Practice & Urgent Care Centre,2015-06,0,0
Midlands and East Of England Commissioning Region,Heart Of England NHS Foundation Trust,2015-06,18011,8158
Midlands and East Of England Commissioning Region,Sandwell And West Birmingham Hospitals NHS Trust,2015-06,14088,4325
Midlands and East Of England Commissioning Region,Showell Park Health & Walk In Centre,2015-06,0,0
Midlands and East Of England Commissioning Region,Solihull Healthcare & Walk-In-Centre,2015-06,0,0
Midlands and East Of England Commissioning Region,South Birmingham GP Walk In Centre,2015-06,0,0
Midlands and East Of England Commissioning Region,South Warwickshire NHS Foundation Trust,2015-06,5144,1645
Midlands and East Of England Commissioning Region,Summerfield GP Surg & Urgent Care Centre,2015-06,0,0
Midlands and East Of England Commissioning Region,The Dudley Group NHS Foundation Trust,2015-06,8147,3523
Midlands and East Of England Commissioning Region,The Royal Wolverhampton NHS Trust,2015-06,10337,3645
Midlands and East Of England Commissioning Region,University Hospitals Birmingham NHS Foundation Trust,2015-06,8823,3611
Midlands and East Of England Commissioning Region,University Hospitals Coventry And Warwickshire NHS Trust,2015-06,11035,4036
Midlands and East Of England Commissioning Region,Walsall Healthcare NHS Trust,2015-06,6481,2360
Midlands and East Of England Commissioning Region,Walsall Walk In Health Centre,2015-06,0,0
Midlands and East Of England Commissioning Region,Worcestershire Acute Hospitals NHS Trust,2015-06,9977,3676
Midlands and East Of England Commissioning Region,Worcestershire Health And Care NHS Trust,2015-06,0,0
Midlands and East Of England Commissioning Region,Wye Valley NHS Trust,2015-06,4527,1246
North of England Commissioning Region,5 Boroughs Partnership NHS Foundation Trust,2015-06,0,0
North of England Commissioning Region,Aintree University Hospital NHS Foundation Trust,2015-06,6320,3165
North of England Commissioning Region,Alder Hey Children's NHS Foundation Trust,2015-06,4703,954
North of England Commissioning Region,Countess Of Chester Hospital NHS Foundation Trust,2015-06,6033,2345
North of England Commissioning Region,East Cheshire NHS Trust,2015-06,3936,1132
North of England Commissioning Region,Liverpool Community Health NHS Trust,2015-06,0,0
North of England Commissioning Region,Liverpool Heart And Chest Hospital NHS Foundation Trust,2015-06,0,262
North of England Commissioning Region,Liverpool Women's NHS Foundation Trust,2015-06,0,139
North of England Commissioning Region,Mid Cheshire Hospitals NHS Foundation Trust,2015-06,4958,2702
North of England Commissioning Region,Royal Liverpool And Broadgreen University Hospitals NHS Trust,2015-06,7656,3345
North of England Commissioning Region,Southport And Ormskirk Hospital NHS Trust,2015-06,6112,2094
North of England Commissioning Region,St Helens And Knowsley Hospitals NHS Trust,2015-06,8530,3857
North of England Commissioning Region,The Walton Centre NHS Foundation Trust,2015-06,0,181
North of England Commissioning Region,Warrington And Halton Hospitals NHS Foundation Trust,2015-06,7129,2623
North of England Commissioning Region,Wirral Community NHS Trust,2015-06,0,0
North of England Commissioning Region,Wirral University Teaching Hospital NHS Foundation Trust,2015-06,7786,3953
North of England Commissioning Region,City Hospitals Sunderland NHS Foundation Trust,2015-06,7046,3528
North of England Commissioning Region,County Durham And Darlington NHS Foundation Trust,2015-06,10869,4809
North of England Commissioning Region,Cumbria Partnership NHS Foundation Trust,2015-06,0,0
North of England Commissioning Region,Gateshead Health NHS Foundation Trust,2015-06,7176,2251
North of England Commissioning Region,North Cumbria University Hospitals NHS Trust,2015-06,6934,2628
North of England Commissioning Region,North Tees And Hartlepool NHS Foundation Trust,2015-06,5964,3367
North of England Commissioning Region,Northern Doctors Urgent Care [Nduc],2015-06,0,0
North of England Commissioning Region,Northumbria Healthcare NHS Foundation Trust,2015-06,12562,4329
North of England Commissioning Region,South Tees Hospitals NHS Foundation Trust,2015-06,10882,3966
North of England Commissioning Region,South Tyneside NHS Foundation Trust,2015-06,5319,1116
North of England Commissioning Region,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,2015-06,9638,4750
North of England Commissioning Region,University Hospitals Of Morecambe Bay NHS Foundation Trust,2015-06,7472,3231
North of England Commissioning Region,Workington Health Limited,2015-06,0,0
North of England Commissioning Region,Blackpool Teaching Hospitals NHS Foundation Trust,2015-06,7158,2730
North of England Commissioning Region,Bolton NHS Foundation Trust,2015-06,9356,3038
North of England Commissioning Region,Bridgewater Community Healthcare NHS Foundation Trust,2015-06,0,0
North of England Commissioning Region,Central Manchester University Hospitals NHS Foundation Trust,2015-06,12005,4262
North of England Commissioning Region,East Lancashire Hospitals NHS Trust,2015-06,9281,4662
North of England Commissioning Region,Lancashire Teaching Hospitals NHS Foundation Trust,2015-06,10783,3605
North of England Commissioning Region,Lindley House Health Centre,2015-06,0,0
North of England Commissioning Region,Pennine Acute Hospitals NHS Trust,2015-06,21906,6990
North of England Commissioning Region,Pennine Care NHS Foundation Trust,2015-06,0,0
North of England Commissioning Region,Salford Royal NHS Foundation Trust,2015-06,8039,2883
North of England Commissioning Region,Stockport NHS Foundation Trust,2015-06,7835,3473
North of England Commissioning Region,Tameside Hospital NHS Foundation Trust,2015-06,7026,2048
North of England Commissioning Region,The Christie NHS Foundation Trust,2015-06,0,302
North of England Commissioning Region,University Hospital Of South Manchester NHS Foundation Trust,2015-06,8264,3177
North of England Commissioning Region,"Wrightington, Wigan And Leigh NHS Foundation Trust",2015-06,7418,2104
North of England Commissioning Region,Airedale NHS Foundation Trust,2015-06,4646,1818
North of England Commissioning Region,Barnsley Hospital NHS Foundation Trust,2015-06,6727,2615
North of England Commissioning Region,Bradford Teaching Hospitals NHS Foundation Trust,2015-06,11055,3893
North of England Commissioning Region,Bransholme Health Centre,2015-06,0,0
North of England Commissioning Region,Calderdale And Huddersfield NHS Foundation Trust,2015-06,12313,3572
North of England Commissioning Region,Care Uk NHS Rotherham Diagnostic Centre,2015-06,0,0
North of England Commissioning Region,Doncaster And Bassetlaw Hospitals NHS Foundation Trust,2015-06,11834,3730
North of England Commissioning Region,Freedom Centre,2015-06,0,0
North of England Commissioning Region,Harrogate And District NHS Foundation Trust,2015-06,4054,1470
North of England Commissioning Region,Hull And East Yorkshire Hospitals NHS Trust,2015-06,10030,3840
North of England Commissioning Region,Humber NHS Foundation Trust,2015-06,0,0
North of England Commissioning Region,Lcd-Leeds-Ooh,2015-06,0,0
North of England Commissioning Region,Leeds Teaching Hospitals NHS Trust,2015-06,16715,6875
North of England Commissioning Region,Local Care Direct Ooh,2015-06,0,0
North of England Commissioning Region,Mid Yorkshire Hospitals NHS Trust,2015-06,19783,5135
North of England Commissioning Region,Northern Lincolnshire And Goole NHS Foundation Trust,2015-06,10885,2996
North of England Commissioning Region,Sheffield Children's NHS Foundation Trust,2015-06,4806,972
North of England Commissioning Region,Sheffield City GP Hc (Wic),2015-06,0,0
North of England Commissioning Region,Sheffield Teaching Hospitals NHS Foundation Trust,2015-06,10130,5172
North of England Commissioning Region,South West Yorkshire Partnership NHS Foundation Trust,2015-06,0,148
North of England Commissioning Region,The Rotherham NHS Foundation Trust,2015-06,6412,2091
North of England Commissioning Region,York Teaching Hospital NHS Foundation Trust,2015-06,10765,4442
South of England Commissioning Region,Assura Reading Llp,2015-06,0,0
South of England Commissioning Region,Berkshire Healthcare NHS Foundation Trust,2015-06,0,0
South of England Commissioning Region,Buckinghamshire Healthcare NHS Trust,2015-06,6625,3284
South of England Commissioning Region,Carfax Health Enterprise,2015-06,0,0
South of England Commissioning Region,Gloucestershire Care Services NHS Trust,2015-06,0,60
South of England Commissioning Region,Gloucestershire Hospitals NHS Foundation Trust,2015-06,10894,3962
South of England Commissioning Region,Great Western Hospitals NHS Foundation Trust,2015-06,6896,3138
South of England Commissioning Region,Oxford Health NHS Foundation Trust,2015-06,0,0
South of England Commissioning Region,Oxford University Hospitals NHS Trust,2015-06,10645,5712
South of England Commissioning Region,Paulton Memorial Hospital,2015-06,0,0
South of England Commissioning Region,Royal Berkshire NHS Foundation Trust,2015-06,8394,3140
South of England Commissioning Region,Royal United Hospitals Bath NHS Foundation Trust,2015-06,5857,2984
South of England Commissioning Region,Salisbury NHS Foundation Trust,2015-06,3809,1751
South of England Commissioning Region,Seqol,2015-06,0,0
South of England Commissioning Region,Tetbury Hospital Trust Ltd,2015-06,0,0
South of England Commissioning Region,Ashford And St Peter's Hospitals NHS Foundation Trust,2015-06,7795,1992
South of England Commissioning Region,Ashford Health Centre,2015-06,0,0
South of England Commissioning Region,Brighton And Sussex University Hospitals NHS Trust,2015-06,12019,3760
South of England Commissioning Region,Dartford And Gravesham NHS Trust,2015-06,8107,2230
South of England Commissioning Region,Dr Jm Ribchester & Partners,2015-06,0,0
South of England Commissioning Region,East Kent Hospitals University NHS Foundation Trust,2015-06,12146,6094
South of England Commissioning Region,East Sussex Healthcare NHS Trust,2015-06,9193,2950
South of England Commissioning Region,Frimley Health NHS Foundation Trust,2015-06,19333,6390
South of England Commissioning Region,Haslemere Minor Injuries Unit,2015-06,0,0
South of England Commissioning Region,Kent Community Health NHS Foundation Trust,2015-06,0,0
South of England Commissioning Region,Maidstone And Tunbridge Wells NHS Trust,2015-06,11210,3030
South of England Commissioning Region,Medway NHS Foundation Trust,2015-06,8711,2471
South of England Commissioning Region,Queen Victoria Hospital NHS Foundation Trust,2015-06,0,403
South of England Commissioning Region,Royal Surrey County Hospital NHS Foundation Trust,2015-06,5634,2102
South of England Commissioning Region,Surrey And Sussex Healthcare NHS Trust,2015-06,7551,2807
South of England Commissioning Region,Sussex Community NHS Trust,2015-06,0,0
South of England Commissioning Region,Western Sussex Hospitals NHS Foundation Trust,2015-06,11515,4006
South of England Commissioning Region,Weybridge Walk In Centre,2015-06,0,0
South of England Commissioning Region,Woking Walk In Centre,2015-06,0,0
South of England Commissioning Region,Bristol Community Health,2015-06,0,0
South of England Commissioning Region,Cardrew Health Centre,2015-06,0,0
South of England Commissioning Region,Clevedon Hospital,2015-06,0,0
South of England Commissioning Region,North Bristol NHS Trust,2015-06,6888,3540
South of England Commissioning Region,Northern Devon Healthcare NHS Trust,2015-06,3639,1416
South of England Commissioning Region,Peninsula Community Health C.I.C,2015-06,0,52
South of England Commissioning Region,Plymouth Community Healthcare (Cic),2015-06,0,0
South of England Commissioning Region,Plymouth Hospitals NHS Trust,2015-06,7638,3668
South of England Commissioning Region,Royal Cornwall Hospitals NHS Trust,2015-06,5344,3368
South of England Commissioning Region,Royal Devon And Exeter NHS Foundation Trust,2015-06,8600,3098
South of England Commissioning Region,Somerset Partnership NHS Foundation Trust,2015-06,0,149
South of England Commissioning Region,South Devon Healthcare NHS Foundation Trust,2015-06,6517,2626
South of England Commissioning Region,Taunton And Somerset NHS Foundation Trust,2015-06,5207,2630
South of England Commissioning Region,Torbay And Southern Devon Health And Care NHS Trust,2015-06,0,0
South of England Commissioning Region,University Hospitals Bristol NHS Foundation Trust,2015-06,8623,3310
South of England Commissioning Region,Weston Area Health NHS Trust,2015-06,4503,1095
South of England Commissioning Region,Yate West Gate Centre,2015-06,0,0
South of England Commissioning Region,Yeovil District Hospital NHS Foundation Trust,2015-06,3928,1567
South of England Commissioning Region,Dorset County Hospital NHS Foundation Trust,2015-06,3640,1561
South of England Commissioning Region,Dorset Healthcare University NHS Foundation Trust,2015-06,0,26
South of England Commissioning Region,Hampshire Hospitals NHS Foundation Trust,2015-06,8992,2737
South of England Commissioning Region,Isle Of Wight NHS Trust,2015-06,3914,882
South of England Commissioning Region,Poole Hospital NHS Foundation Trust,2015-06,5542,2616
South of England Commissioning Region,Portsmouth Hospitals NHS Trust,2015-06,9085,4384
South of England Commissioning Region,Solent NHS Trust,2015-06,0,0
South of England Commissioning Region,Southampton NHS Treatment Centre,2015-06,0,0
South of England Commissioning Region,Southern Health NHS Foundation Trust,2015-06,0,95
South of England Commissioning Region,St Mary's NHS Treatment Centre,2015-06,0,0
South of England Commissioning Region,The Royal Bournemouth And Christchurch Hospitals NHS Foundation Trust,2015-06,5936,2690
South of England Commissioning Region,University Hospital Southampton NHS Foundation Trust,2015-06,7710,4652
London Commissioning Region,"Barking, Havering And Redbridge University Hospitals NHS Trust",2015-07,19051,4920
London Commissioning Region,Barts Health NHS Trust,2015-07,26893,8369
London Commissioning Region,Beckenham Beacon Ucc,2015-07,0,0
London Commissioning Region,Central London Community Healthcare NHS Trust,2015-07,0,0
London Commissioning Region,Chelsea And Westminster Hospital NHS Foundation Trust,2015-07,9828,1636
London Commissioning Region,Croydon Health Services NHS Trust,2015-07,5775,2628
London Commissioning Region,Dmc Vicarage Lane,2015-07,0,0
London Commissioning Region,Edmonton GP Walk In Centre,2015-07,0,0
London Commissioning Region,Edridge Road Community Health Centre,2015-07,0,0
London Commissioning Region,Epsom And St Helier University Hospitals NHS Trust,2015-07,12253,3126
London Commissioning Region,Guy's And St Thomas' NHS Foundation Trust,2015-07,12047,3219
London Commissioning Region,Harold Wood Walk In Centre,2015-07,0,0
London Commissioning Region,Homerton University Hospital NHS Foundation Trust,2015-07,10311,1679
London Commissioning Region,Hounslow And Richmond Community Healthcare NHS Trust,2015-07,0,0
London Commissioning Region,Imperial College Healthcare NHS Trust,2015-07,9390,5105
London Commissioning Region,King's College Hospital NHS Foundation Trust,2015-07,17278,5600
London Commissioning Region,Kingston Hospital NHS Foundation Trust,2015-07,8500,2027
London Commissioning Region,Lewisham And Greenwich NHS Trust,2015-07,18461,4970
London Commissioning Region,London North West Healthcare NHS Trust,2015-07,10931,5123
London Commissioning Region,Moorfields Eye Hospital NHS Foundation Trust,2015-07,0,219
London Commissioning Region,North East London NHS Foundation Trust,2015-07,0,0
London Commissioning Region,North Middlesex University Hospital NHS Trust,2015-07,14396,2963
London Commissioning Region,Orchard Village Walk-In-Centre,2015-07,0,0
London Commissioning Region,Orient Practice,2015-07,0,0
London Commissioning Region,Parkway Miu,2015-07,0,603
London Commissioning Region,Purley Miu,2015-07,0,724
London Commissioning Region,Royal Brompton & Harefield NHS Foundation Trust,2015-07,0,528
London Commissioning Region,Royal Free London NHS Foundation Trust,2015-07,18534,4731
London Commissioning Region,Royal National Orthopaedic Hospital NHS Trust,2015-07,0,35
London Commissioning Region,St Andrews Walk-In Centre,2015-07,0,0
London Commissioning Region,St George's University Hospitals NHS Foundation Trust,2015-07,12730,3924
London Commissioning Region,The Barkantine Practice,2015-07,0,0
London Commissioning Region,The Hillingdon Hospitals NHS Foundation Trust,2015-07,4937,2100
London Commissioning Region,The Practice Loxford,2015-07,0,0
London Commissioning Region,The Ridgeway Surgery,2015-07,0,0
London Commissioning Region,The Whittington Hospital NHS Trust,2015-07,8039,1575
London Commissioning Region,University College London Hospitals NHS Foundation Trust,2015-07,11478,2293
London Commissioning Region,Urgent Care Centre,2015-07,0,0
London Commissioning Region,Waldron - Hurley Unregistered Practice,2015-07,0,0
London Commissioning Region,West Middlesex University Hospital NHS Trust,2015-07,4932,2102
Midlands And East Of England Commissioning Region,Assura Vertis Urgent Care Centres (Birmingham),2015-07,0,0
Midlands And East Of England Commissioning Region,Basildon And Thurrock University Hospitals NHS Foundation Trust,2015-07,11144,2465
Midlands And East Of England Commissioning Region,Bedford Hospital NHS Trust,2015-07,5898,1798
Midlands And East Of England Commissioning Region,Birmingham Children's Hospital NHS Foundation Trust,2015-07,4006,1139
Midlands And East Of England Commissioning Region,Birmingham Community Healthcare NHS Trust,2015-07,0,0
Midlands And East Of England Commissioning Region,Birmingham Wic,2015-07,0,0
Midlands And East Of England Commissioning Region,Birmingham Women's NHS Foundation Trust,2015-07,0,120
Midlands And East Of England Commissioning Region,Burton Hospitals NHS Foundation Trust,2015-07,5472,2115
Midlands And East Of England Commissioning Region,Cambridge University Hospitals NHS Foundation Trust,2015-07,9344,3670
Midlands And East Of England Commissioning Region,Chesterfield Royal Hospital NHS Foundation Trust,2015-07,7060,2738
Midlands And East Of England Commissioning Region,Clacton Hospital,2015-07,0,0
Midlands And East Of England Commissioning Region,Colchester Hospital University NHS Foundation Trust,2015-07,7010,3333
Midlands And East Of England Commissioning Region,Corby Urgent Care Centre,2015-07,0,0
Midlands And East Of England Commissioning Region,Coventry And Warwickshire Partnership NHS Trust,2015-07,0,128
Midlands And East Of England Commissioning Region,Coventry NHS Healthcare Ctr,2015-07,0,0
Midlands And East Of England Commissioning Region,Derby Teaching Hospitals NHS Foundation Trust,2015-07,11582,5744
Midlands And East Of England Commissioning Region,Derbyshire Community Health Services NHS Foundation Trust,2015-07,0,0
Midlands And East Of England Commissioning Region,Derbyshire Health United Ltd,2015-07,0,0
Midlands And East Of England Commissioning Region,East And North Hertfordshire NHS Trust,2015-07,9929,4217
Midlands And East Of England Commissioning Region,East Coast Community Healthcare C.I.C,2015-07,0,0
Midlands And East Of England Commissioning Region,Fryatt Hospital,2015-07,0,0
Midlands And East Of England Commissioning Region,George Eliot Hospital NHS Trust,2015-07,6088,1277
Midlands And East Of England Commissioning Region,Greet General Practice & Urgent Care Centre,2015-07,0,0
Midlands And East Of England Commissioning Region,Greyfriars Health Centre,2015-07,0,0
Midlands And East Of England Commissioning Region,Haverstock Healthcare (Cheshunt Community Hospital),2015-07,0,0
Midlands And East Of England Commissioning Region,Heart Of England NHS Foundation Trust,2015-07,17978,8335
Midlands And East Of England Commissioning Region,Hertfordshire Community NHS Trust,2015-07,0,0
Midlands And East Of England Commissioning Region,Hinchingbrooke Health Care NHS Trust,2015-07,4058,1137
Midlands And East Of England Commissioning Region,Ipswich Hospital NHS Trust,2015-07,7350,2825
Midlands And East Of England Commissioning Region,James Paget University Hospitals NHS Foundation Trust,2015-07,6446,1321
Midlands And East Of England Commissioning Region,Kettering General Hospital NHS Foundation Trust,2015-07,7096,2683
Midlands And East Of England Commissioning Region,Latham House Medical Practice,2015-07,0,0
Midlands And East Of England Commissioning Region,Lincolnshire Community Health Services NHS Trust,2015-07,0,76
Midlands And East Of England Commissioning Region,Loughborough Urgent Care Centre,2015-07,0,0
Midlands And East Of England Commissioning Region,Luton And Dunstable University Hospital NHS Foundation Trust,2015-07,8102,3238
Midlands And East Of England Commissioning Region,Malling Health - Telford Wic,2015-07,0,0
Midlands And East Of England Commissioning Region,Market Harborough Med.Ctr,2015-07,0,0
Midlands And East Of England Commissioning Region,Market Harborough Urgent Care Centre,2015-07,0,0
Midlands And East Of England Commissioning Region,Melton Mowbray Urgent Care Centre,2015-07,0,0
Midlands And East Of England Commissioning Region,Mid Essex Hospital Services NHS Trust,2015-07,7199,2663
Midlands And East Of England Commissioning Region,Milton Keynes University Hospital NHS Foundation Trust,2015-07,7126,2234
Midlands And East Of England Commissioning Region,NHS Nottingham City 8Am - 8Pm Health Centre,2015-07,0,0
Midlands And East Of England Commissioning Region,Norfolk And Norwich University Hospitals NHS Foundation Trust,2015-07,9603,4997
Midlands And East Of England Commissioning Region,North Colchester Healthcare Centre,2015-07,0,0
Midlands And East Of England Commissioning Region,Northampton General Hospital NHS Trust,2015-07,8871,3371
Midlands And East Of England Commissioning Region,Norwich Practices Ltd (Castle Mall),2015-07,0,0
Midlands And East Of England Commissioning Region,Nottingham Citycare Partnership,2015-07,0,0
Midlands And East Of England Commissioning Region,Nottingham University Hospitals NHS Trust,2015-07,14653,6191
